x,y,z,yaw,velocity,change_flag
-0.2802,-0.8074,-2.9762,-1.5369,5,0
-0.2463,-1.8068,-2.9812,-1.5369,5,0
-0.2124,-2.8062,-2.9862,-1.5369,5,0
-0.1785,-3.8057,-2.9912,-1.5369,5,0
-0.1477,-4.7136,-2.9957,-1.5556,5,0
-0.1325,-5.7135,-2.9929,-1.5556,5,0
-0.1173,-6.7133,-2.9901,-1.5556,5,0
-0.1021,-7.7132,-2.9873,-1.5556,5,0
-0.0869,-8.7131,-2.9844,-1.5556,5,0
-0.0864,-8.745,-2.9844,-1.5548,5,0
-0.0704,-9.7449,-2.9843,-1.5548,5,0
-0.0545,-10.7448,-2.9843,-1.5548,5,0
-0.0385,-11.7447,-2.9843,-1.5548,5,0
-0.0225,-12.7445,-2.9843,-1.5548,5,0
-0.0066,-13.7444,-2.9843,-1.5548,5,0
0.0094,-14.7443,-2.9843,-1.5548,5,0
0.0254,-15.7442,-2.9843,-1.5548,5,0
0.0401,-16.664,-2.9843,-1.5652,5,0
0.0456,-17.6639,-2.9733,-1.5652,5,0
0.0512,-18.6638,-2.9624,-1.5652,5,0
0.0568,-19.6637,-2.9514,-1.5652,5,0
0.0624,-20.6637,-2.9404,-1.5652,5,0
0.0677,-21.6253,-2.9299,-1.568,5,0
0.0706,-22.6252,-2.9445,-1.568,5,0
0.0734,-23.6251,-2.9591,-1.568,5,0
0.0762,-24.6249,-2.9737,-1.568,5,0
0.0791,-25.6248,-2.9883,-1.568,5,0
0.0817,-26.5574,-3.0019,-1.5432,5,0
0.1093,-27.557,-2.9918,-1.5432,5,0
0.1369,-28.5566,-2.9816,-1.5432,5,0
0.1644,-29.5561,-2.9715,-1.5432,5,0
0.192,-30.5557,-2.9614,-1.5432,5,0
0.2195,-31.553,-2.9513,-1.5616,5,0
0.2288,-32.5529,-2.9463,-1.5616,5,0
0.238,-33.5529,-2.9414,-1.5616,5,0
0.2473,-34.5528,-2.9364,-1.5616,5,0
0.2565,-35.5528,-2.9315,-1.5616,5,0
0.2655,-36.5267,-2.9266,-1.5613,5,0
0.275,-37.5266,-2.926,-1.5613,5,0
0.2846,-38.5266,-2.9254,-1.5613,5,0
0.2941,-39.5265,-2.9248,-1.5613,5,0
0.3036,-40.5265,-2.9242,-1.5613,5,0
0.313,-41.508,-2.9236,-1.5587,5,0
0.3251,-42.5079,-2.9198,-1.5587,5,0
0.3373,-43.5078,-2.9161,-1.5587,5,0
0.3494,-44.5078,-2.9124,-1.5587,5,0
0.3616,-45.5077,-2.9087,-1.5587,5,0
0.3737,-46.5076,-2.905,-1.5587,5,0
0.3849,-47.4317,-2.9016,-1.5536,5,0
0.4021,-48.4316,-2.8948,-1.5536,5,0
0.4194,-49.4314,-2.8881,-1.5536,5,0
0.4366,-50.4312,-2.8814,-1.5536,5,0
0.4528,-51.3744,-2.875,-1.5606,5,0
0.463,-52.3743,-2.8814,-1.5606,5,0
0.4732,-53.3742,-2.8878,-1.5606,2,0
0.4735,-53.4,-2.8879,-1.5693,2,0
0.475,-54.3469,-2.9103,-1.6076,2,0
0.4396,-55.3089,-2.9036,-1.537,2,0
0.473,-56.2973,-2.8953,-1.5461,2,0
0.4973,-57.2796,-2.8809,-1.6172,2,0
0.4544,-58.2033,-2.8897,-1.6022,2,0
0.4235,-59.1883,-2.8985,-1.5866,2,0
0.408,-60.1704,-2.8921,-1.6373,2,0
0.3451,-61.1139,-2.9081,-1.6014,2,0
0.3159,-62.0667,-2.9266,-1.7127,2,0
